time;ay;az;wx;wm;theta_a;theta_g;theta_af;theta_gf;theta;I
+7840.667969;15163;257;-0.067207;+0.000000;+0.000000;-0.000672;+0.000000;-0.000321;-0.000321;+0.672082
+7840.677734;15163;0;-0.067207;+0.000000;-0.016947;-0.001344;-0.000016;-0.000936;-0.000952;+2.559719
+7840.687500;15163;0;-0.067207;+0.000000;-0.016947;-0.002016;-0.000079;-0.001494;-0.001573;+5.096371
+7840.697754;15163;0;-0.067207;+0.000000;-0.016947;-0.002688;-0.000200;-0.002000;-0.002199;+7.599889
+7840.708008;15163;0;-0.067207;-0.006632;-0.016947;-0.003360;-0.000373;-0.002455;-0.002828;+9.716105
+7840.718262;15163;0;-0.067207;-0.029395;-0.016947;-0.004032;-0.000595;-0.002862;-0.003457;+11.322715
+7840.728027;15163;0;-0.067207;-0.064792;-0.016947;-0.004704;-0.000860;-0.003223;-0.004083;+12.458789
+7840.738281;15420;-258;-0.067207;-0.099579;-0.033677;-0.005377;-0.001178;-0.003542;-0.004721;+13.256523
+7840.748047;15420;-258;-0.033669;-0.122376;-0.033677;-0.005713;-0.001577;-0.003660;-0.005237;+13.534450
+7840.758301;15420;-258;-0.033669;-0.129574;-0.033677;-0.006050;-0.002063;-0.003594;-0.005656;+13.139632
+7840.768555;15163;-258;-0.033669;-0.129384;-0.033961;-0.006387;-0.002627;-0.003519;-0.006146;+12.419620
+7840.778320;15163;-258;-0.033669;-0.135184;-0.033961;-0.006723;-0.003261;-0.003438;-0.006699;+11.738037
+7840.788574;15163;0;-0.033669;-0.150598;-0.016947;-0.007060;-0.003942;-0.003350;-0.007292;+11.266645
+7840.798828;15163;-258;-0.033669;-0.176184;-0.033961;-0.007397;-0.004645;-0.003258;-0.007903;+11.050462
+7840.808594;15163;-258;-0.033669;-0.215640;-0.033961;-0.007733;-0.005384;-0.003161;-0.008545;+11.077234
+7840.818848;15163;-772;-0.033669;-0.268407;-0.067817;-0.008070;-0.006200;-0.003060;-0.009260;+11.330803
+7840.828613;15163;-772;-0.033669;-0.335974;-0.067817;-0.008407;-0.007147;-0.002956;-0.010103;+11.791546
+7840.838867;15163;-1;-0.033669;-0.416927;-0.017013;-0.008743;-0.008194;-0.002850;-0.011045;+12.384565
+7840.849121;15163;-1;-0.033669;-0.505708;-0.017013;-0.009080;-0.009234;-0.002743;-0.011977;+12.994315
+7840.859375;15163;-515;-0.000130;-0.603782;-0.050898;-0.009081;-0.010247;-0.002473;-0.012720;+13.240403
+7840.869141;15163;-258;-0.000130;-0.714627;-0.033961;-0.009083;-0.011279;-0.002057;-0.013336;+12.872501
+7840.878906;15163;-258;-0.000130;-0.838365;-0.033961;-0.009084;-0.012326;-0.001668;-0.013994;+12.173989
+7840.889160;15163;0;-0.000130;-0.972351;-0.016947;-0.009085;-0.013349;-0.001306;-0.014655;+11.464460
+7840.899414;15163;0;-0.000130;-1.111260;-0.016947;-0.009087;-0.014314;-0.000970;-0.015284;+10.897403
+7840.909668;15420;-1;-0.000130;-1.249481;-0.017012;-0.009088;-0.015208;-0.000659;-0.015867;+10.524900
+7840.919434;15420;-258;-0.000130;-1.382581;-0.033677;-0.009089;-0.016048;-0.000372;-0.016420;+10.355099
+7840.929199;15420;-258;-0.000130;-1.513499;-0.033677;-0.009091;-0.016867;-0.000108;-0.016975;+10.361978
+7840.939941;15163;0;-0.000130;-1.649644;-0.016947;-0.009092;-0.017665;+0.000135;-0.017530;+10.476461
+7840.949707;15163;0;-0.000130;-1.786757;-0.016947;-0.009093;-0.018408;+0.000356;-0.018052;+10.632677
+7840.959961;15163;-258;-0.000130;-1.919996;-0.033961;-0.009094;-0.019098;+0.000557;-0.018541;+10.804607
+7840.969727;15163;-258;-0.000130;-2.052166;-0.033961;-0.009096;-0.019770;+0.000738;-0.019031;+10.988854
+7840.979980;15163;0;+0.000000;-2.183964;-0.016947;-0.009096;-0.020422;+0.000902;-0.019519;+11.167543
+7840.990234;15163;0;+0.000000;-2.316831;-0.016947;-0.009096;-0.021021;+0.001050;-0.019971;+11.304069
+7841.000000;15163;0;+0.000000;-2.449726;-0.016947;-0.009096;-0.021555;+0.001181;-0.020374;+11.388636
+7841.010254;15420;0;-0.000130;-2.582065;-0.016947;-0.009097;-0.022025;+0.001296;-0.020730;+11.428534
+7841.020020;15420;0;-0.000130;-2.718353;-0.016947;-0.009098;-0.022437;+0.001395;-0.021042;+11.421466
+7841.030273;15420;0;-0.000130;-2.857771;-0.016947;-0.009100;-0.022792;+0.001481;-0.021312;+11.372656
+7841.040527;15420;-258;-0.000130;-2.993876;-0.033677;-0.009101;-0.023111;+0.001554;-0.021558;+11.309531
+7841.050293;15420;-258;-0.000130;-3.122373;-0.033677;-0.009102;-0.023427;+0.001614;-0.021813;+11.266732
+7841.060547;15163;257;+0.000000;-3.242615;+0.000000;-0.009102;-0.023724;+0.001664;-0.022059;+11.230783
+7841.070801;15163;257;+0.000000;-3.359632;+0.000000;-0.009102;-0.023937;+0.001705;-0.022232;+11.141292
+7841.081055;15163;-1;+0.000000;-3.482442;-0.017013;-0.009102;-0.024058;+0.001735;-0.022323;+10.974466
+7841.090820;15163;-1;+0.000000;-3.615146;-0.017013;-0.009102;-0.024125;+0.001756;-0.022369;+10.754540
+7841.101074;15163;257;+0.000000;-3.754446;+0.000000;-0.009102;-0.024145;+0.001769;-0.022376;+10.491287
+7841.111328;15163;0;+0.000000;-3.892811;-0.016947;-0.009102;-0.024103;+0.001774;-0.022329;+10.189168
+7841.121094;15163;0;+0.000000;-4.027544;-0.016947;-0.009102;-0.024022;+0.001772;-0.022250;+9.869455
+7841.131348;15420;0;-0.000130;-4.162583;-0.016947;-0.009104;-0.023921;+0.001763;-0.022158;+9.540745
+7841.141113;15420;0;-0.000130;-4.295143;-0.016947;-0.009105;-0.023802;+0.001747;-0.022055;+9.210279
+7841.151367;15420;0;-0.000130;-4.422291;-0.016947;-0.009106;-0.023668;+0.001726;-0.021942;+8.883368
+7841.161621;15420;257;-0.000130;-4.546667;-0.000282;-0.009108;-0.023504;+0.001700;-0.021803;+8.542141
+7841.171875;15163;257;+0.000000;-4.668118;+0.000000;-0.009108;-0.023281;+0.001671;-0.021610;+8.161918
+7841.181641;15420;257;+0.000000;-4.789631;-0.000282;-0.009108;-0.022990;+0.001638;-0.021352;+7.727318
+7841.191406;15420;257;+0.000000;-4.912019;-0.000282;-0.009108;-0.022638;+0.001602;-0.021036;+7.243293
+7841.201660;14649;0;+0.000000;-5.031453;-0.016947;-0.009108;-0.022247;+0.001564;-0.020684;+6.736062
+7841.211914;14649;0;+0.000000;-5.150309;-0.016947;-0.009108;-0.021854;+0.001522;-0.020332;+6.230218
+7841.222168;15420;257;-0.000130;-5.267673;-0.000282;-0.009109;-0.021459;+0.001478;-0.019982;+5.730237
+7841.231934;15163;257;-0.000130;-5.377226;+0.000000;-0.009110;-0.021034;+0.001431;-0.019603;+5.225203
+7841.241699;15163;257;-0.000130;-5.480910;+0.000000;-0.009111;-0.020566;+0.001383;-0.019183;+4.700469
+7841.251953;15163;0;-0.000130;-5.584721;-0.016947;-0.009113;-0.020076;+0.001333;-0.018742;+4.159565
+7841.262207;15163;0;-0.000130;-5.689835;-0.016947;-0.009114;-0.019599;+0.001283;-0.018316;+3.627333
+7841.272461;15163;257;+0.000000;-5.790830;+0.000000;-0.009114;-0.019137;+0.001233;-0.017905;+3.112721
+7841.282227;15163;513;+0.000000;-5.880028;+0.016872;-0.009114;-0.018643;+0.001183;-0.017460;+2.591727
+7841.291992;15420;514;+0.000000;-5.957196;+0.016374;-0.009114;-0.018072;+0.001133;-0.016939;+2.032244
+7841.302246;15163;257;-0.000130;-6.027744;+0.000000;-0.009115;-0.017435;+0.001082;-0.016353;+1.433797
+7841.312500;15163;257;-0.000130;-6.095767;+0.000000;-0.009117;-0.016771;+0.001031;-0.015740;+0.821386
+7841.322754;15163;257;-0.000130;-6.163045;+0.000000;-0.009118;-0.016100;+0.000980;-0.015120;+0.206653
+7841.332520;15163;257;-0.000130;-6.229261;+0.000000;-0.009119;-0.015425;+0.000930;-0.014495;-0.408776
+7841.342773;15163;0;-0.000130;-6.290380;-0.016947;-0.009121;-0.014765;+0.000881;-0.013885;-1.003270
+7841.352539;15163;0;-0.000130;-6.340157;-0.016947;-0.009122;-0.014154;+0.000832;-0.013322;-1.539289
+7841.362305;15163;0;-0.000130;-6.376943;-0.016947;-0.009123;-0.013605;+0.000785;-0.012820;-2.002715
+7841.373047;14906;514;-0.000130;-6.405357;+0.017522;-0.009124;-0.013083;+0.000738;-0.012345;-2.430537
+7841.382812;14906;514;-0.000130;-6.430923;+0.017522;-0.009126;-0.012522;+0.000693;-0.011829;-2.884693
+7841.393066;15163;257;-0.000130;-6.457052;+0.000000;-0.009127;-0.011912;+0.000649;-0.011263;-3.379941
+7841.402832;15163;257;-0.000130;-6.484929;+0.000000;-0.009128;-0.011292;+0.000606;-0.010686;-3.887305
+7841.412598;15163;257;-0.000130;-6.510804;+0.000000;-0.009130;-0.010682;+0.000565;-0.010118;-4.384102
+7841.423340;15163;514;-0.000130;-6.527678;+0.016938;-0.009131;-0.010068;+0.000525;-0.009544;-4.868458
+7841.433105;15163;514;-0.000130;-6.534659;+0.016938;-0.009132;-0.009420;+0.000486;-0.008934;-5.361735
+7841.443359;15163;0;-0.000130;-6.537529;-0.016947;-0.009134;-0.008760;+0.000449;-0.008311;-5.858131
+7841.453125;15163;0;-0.000130;-6.539229;-0.016947;-0.009135;-0.008154;+0.000413;-0.007741;-6.310069
+7841.463379;15163;514;-0.000130;-6.535713;+0.016938;-0.009136;-0.007602;+0.000379;-0.007223;-6.711753
+7841.473633;15163;0;-0.000130;-6.524053;-0.016947;-0.009138;-0.007067;+0.000346;-0.006721;-7.084702
+7841.483398;15163;0;-0.000130;-6.507565;-0.016947;-0.009139;-0.006584;+0.000315;-0.006269;-7.409670
+7841.493652;15163;257;-0.000130;-6.486376;+0.000000;-0.009140;-0.006164;+0.000285;-0.005879;-7.676256
+7841.503418;15163;257;-0.000130;-6.459047;+0.000000;-0.009141;-0.005773;+0.000257;-0.005516;-7.909979
+7841.513672;15163;514;-0.000130;-6.426016;+0.016938;-0.009143;-0.005377;+0.000230;-0.005147;-8.137584
+7841.523926;15163;514;-0.000130;-6.387048;+0.016938;-0.009144;-0.004947;+0.000204;-0.004743;-8.382315
+7841.533691;15163;0;-0.033669;-6.342967;-0.016947;-0.009481;-0.004503;+0.000020;-0.004483;-8.294135
+7841.543945;15420;257;-0.033669;-6.291487;-0.000282;-0.009817;-0.004095;-0.000309;-0.004405;-7.563492
+7841.553711;15420;257;-0.033669;-6.232780;-0.000282;-0.010154;-0.003724;-0.000609;-0.004333;-6.486285
